ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,REP,RSS,S2,TN,TNR,TP,TPR,TRANS
,,,0,,0,,,,NBinomial,200,1,20,1,,100,,1,,1,0,,0,,none
,,,0,,0,,,,Poisson,200,1,20,1,,100,,1,,1,0,,0,,none
,,,0,,0,,,,Binomial,200,1,20,1,,100,,1,,1,0,,0,,none
,,,0,,0,,,,NBinomial,200,1,20,1,,100,,2,,1,0,,0,,none
,,,0,,0,,,,Poisson,200,1,20,1,,100,,2,,1,0,,0,,none
0.9992424242424243,,1.0,1,1.0,2,0.0005051780752715333,0.0,-0.0003572599655562748,Binomial,200,1,20,1,0.9997473471450228,100,0.0,2,,1,3957,0.9994948219247285,0,0.0,none
,,,0,,0,,,,NBinomial,200,1,20,1,,100,,3,,1,0,,0,,none
0.9994974874371859,,1.0,1,1.0,1,0.00025131942699170643,0.0,-0.00025131942699170643,Poisson,200,1,20,1,0.9997486805730083,100,0.0,3,,1,3978,0.9997486805730083,0,0.0,none
,,,0,,0,,,,Binomial,200,1,20,1,,100,,3,,1,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,200,1,20,1,1.0,100,1.0,4,0.0,1,3979,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,200,1,20,1,1.0,100,1.0,4,0.0,1,3979,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,200,1,20,1,1.0,100,1.0,4,0.0,1,3979,1.0,1,1.0,none
,,,0,,0,,,,NBinomial,200,1,20,1,,100,,5,,1,0,,0,,none
,,,0,,0,,,,Poisson,200,1,20,1,,100,,5,,1,0,,0,,none
,,,0,,0,,,,Binomial,200,1,20,1,,100,,5,,1,0,,0,,none
,,,0,,0,,,,NBinomial,200,1,20,1,,100,,6,,1,0,,0,,none
,,,0,,0,,,,Poisson,200,1,20,1,,100,,6,,1,0,,0,,none
,,,0,,0,,,,Binomial,200,1,20,1,,100,,6,,1,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,200,1,20,1,1.0,100,1.0,7,0.0,1,3999,1.0,1,1.0,none
0.99975,0.6666666666666666,0.5,0,0.0,1,0.00025006251562890725,0.7071067811865476,0.7070183652085607,Poisson,200,1,20,1,1.0,100,0.5,7,0.4753372268007683,1,3998,0.9997499374843711,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,200,1,20,1,1.0,100,1.0,7,0.0,1,3999,1.0,1,1.0,none
,,,0,,0,,,,NBinomial,200,1,20,1,,100,,8,,1,0,,0,,none
,,,0,,0,,,,Poisson,200,1,20,1,,100,,8,,1,0,,0,,none
,,,0,,0,,,,Binomial,200,1,20,1,,100,,8,,1,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,200,1,20,1,1.0,100,1.0,9,0.0,1,3999,1.0,1,1.0,none
0.99975,0.6666666666666666,0.5,0,0.0,1,0.00025006251562890725,0.7071067811865476,0.7070183652085607,Poisson,200,1,20,1,1.0,100,0.5,9,0.8860437642348494,1,3998,0.9997499374843711,1,1.0,none
0.99975,0.6666666666666666,0.5,0,0.0,1,0.00025006251562890725,0.7071067811865476,0.7070183652085607,Binomial,200,1,20,1,1.0,100,0.5,9,0.022192112502834694,1,3998,0.9997499374843711,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,200,1,20,1,1.0,100,1.0,10,0.0,1,3999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,200,1,20,1,1.0,100,1.0,10,0.0,1,3999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,200,1,20,1,1.0,100,1.0,10,0.0,1,3999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,200,1,20,1,1.0,100,1.0,1,0.0,2,3919,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,200,1,20,1,1.0,100,1.0,1,0.0,2,3919,1.0,1,1.0,none
0.9834183673469388,0.02985074626865672,0.9848484848484849,0,0.0,65,0.01658586374075019,0.12309149097933274,0.12206643349318522,Binomial,200,1,20,1,1.0,100,0.015151515151515152,1,0.021131461519843586,2,3854,0.9834141362592498,1,1.0,none
,,,0,,0,,,,NBinomial,200,1,20,1,,100,,2,,2,0,,0,,none
,,,0,,0,,,,Poisson,200,1,20,1,,100,,2,,2,0,,0,,none
,,,0,,0,,,,Binomial,200,1,20,1,,100,,2,,2,0,,0,,none
,,,0,,0,,,,NBinomial,200,1,20,1,,100,,3,,2,0,,0,,none
