NSAMPLES	MODEL	TRANS	REP	R2	X2	X2p	X2c	nMSE	PCC	RHO
226	NBinomial	none	28	1.0	207.463704475	2.850122926	3.40570982408	0.585178289467	0.976770588003	0.826377948364
226	NBinomial	none	29	0.0	195.736487399	12.5459843224	13.012215934	0.584822641491	0.976430069123	0.826115018245
226	NBinomial	none	3	0.961262542233	191.877475598	5.69920540555	6.24404806248	0.571037046583	0.977478273611	0.830009482589
226	NBinomial	none	30	0.000156668779505	207.809977436	3.72732383686	4.27113468287	0.580219688471	0.976831369856	0.826616099984
226	NBinomial	none	31	0.00149623062797	185.2551315	6.6367629771	7.1116234217	0.589439692836	0.976363736403	0.824234333166
226	NBinomial	none	32	0.99649828446	183.638878328	2.10316140404	2.57062811504	0.588610276916	0.975993226082	0.823987734196
226	NBinomial	none	33	0.971706047693	194.617434046	3.08820677444	3.5696750944	0.589934689835	0.976688828827	0.824526396826
226	NBinomial	none	34	0.0	191.238286238	1.49816712182	2.02731617177	0.579694014066	0.976955607009	0.827232276998
226	NBinomial	none	35	0.0	192.275296691	1.58097419848	2.09104722415	0.589434940309	0.976699321949	0.824991224617
226	NBinomial	none	36	1.0	182.439020704	3.22613034159	3.72737194601	0.58956484825	0.976663817785	0.824754797873
226	NBinomial	none	37	0.999999999999	193.818726368	4.15470194209	4.59005893822	0.58755024619	0.97640079525	0.82453784256
226	NBinomial	none	38	0.0	181.998013634	3.20253705814	3.69574937809	0.581598376367	0.976645881845	0.826495772695
226	NBinomial	none	39	0.000899827145637	191.410734075	4.03012871251	4.52836291005	0.586100029347	0.977057824048	0.825952139603
226	NBinomial	none	4	0.00096772183064	171.996806108	7.51897127605	7.9700542985	0.594515488155	0.976564883384	0.8232375389
226	NBinomial	none	40	0.958367682096	189.467514551	1.38295813887	1.941914184	0.579028340256	0.977126678175	0.828379118845
226	NBinomial	none	41	0.0	187.752305504	4.3473360187	4.79911775781	0.597208068422	0.976626358774	0.823053738851
226	NBinomial	none	42	0.0	195.856934564	1.54260225417	2.10257181704	0.574686160041	0.977342493422	0.829682114631
226	NBinomial	none	43	0.0	188.781158027	1.16668106457	1.71240741268	0.585623787102	0.977253214561	0.826646405853
226	NBinomial	none	44	0.0	211.722064554	6.17772190844	6.68661019524	0.583399233913	0.976711414048	0.82635372613
226	NBinomial	none	45	0.000734666911629	199.290468632	1.44590277187	1.96927284566	0.587430773746	0.976776460311	0.825533601456
226	NBinomial	none	46	1.0	218.307726521	1.54794058235	2.01176648114	0.59292224824	0.976137907438	0.82330917911
226	NBinomial	none	47	1.0	190.821075415	1.60647077497	2.09907589719	0.596154537252	0.976098827853	0.822184463252
226	NBinomial	none	48	1.0	183.086001525	8.42755370901	8.89218200541	0.592310525156	0.976481397912	0.823371055233
226	NBinomial	none	49	0.0	184.539393804	1.33739531722	1.92226761747	0.577651287707	0.97695837702	0.828719812581
226	NBinomial	none	5	0.0	165.451245434	1.44662512588	1.96647565578	0.587500084416	0.976452732059	0.825134892576
226	NBinomial	none	50	1.0	194.04508133	3.87202935991	4.31603588813	0.588867748091	0.976636328691	0.824416449217
226	NBinomial	none	51	0.445748905167	196.330683863	3.94279189991	4.42345938732	0.596287955625	0.976414050974	0.822933567286
226	NBinomial	none	52	0.985877216667	177.48449447	1.39099954389	1.90137154381	0.590745398505	0.976866534571	0.824819807788
226	NBinomial	none	53	0.0	193.583187518	1.33947703691	1.86478669283	0.58824981246	0.976946194782	0.825678921779
226	NBinomial	none	54	0.000548663852293	175.268010454	3.0338183441	3.52026630644	0.589223294421	0.976972362984	0.825261163057
226	NBinomial	none	55	0.000442871516223	185.525784719	3.57905190238	4.0671917791	0.584356127432	0.976581670547	0.826004947366
226	NBinomial	none	56	0.000248605677215	190.219085395	4.29894652984	4.73550589947	0.596970456929	0.976367546663	0.82295441795
226	NBinomial	none	57	1.0	178.288353814	3.94820684498	4.39725012113	0.596723510493	0.976852469066	0.823163713253
226	NBinomial	none	58	0.000294922193762	200.013529512	15.4241695966	15.896162098	0.587189570775	0.976681224162	0.825330382659
226	NBinomial	none	59	1.0	186.053849336	5.00805914549	5.49188407286	0.584793207582	0.977310607363	0.826372890485
226	NBinomial	none	6	0.0	184.145405473	5.31380019991	5.79208618684	0.584461652013	0.976647063925	0.826281765828
226	NBinomial	none	60	0.999999999999	206.525715393	1.51510102074	2.03958354725	0.593949674065	0.976047799692	0.823534833492
