ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,R2,REP,RSS,S2,TN,TNR,TP,TPR,TRANS
0.999,0.7499999999999999,0.0,10,0.4,0,0.0,0.7745966692414834,0.7742086919222567,Normal,100,5,100,5,0.99899849774662,1000,1.0,0.702385492199719,3,0.017606455274722998,1,9975,1.0,15,0.6,log
0.9975,0.5454545454545454,0.5,10,0.4,15,0.0015037593984962407,0.5477225575051661,0.546486800543942,Normal,100,5,100,5,0.9989969909729187,1000,0.5,0.6801602612803461,3,0.01892126864536325,1,9960,0.9984962406015038,15,0.6,boxcox
0.9987,0.6829268292682927,0.125,11,0.44,2,0.0002005012531328321,0.7000000000000001,0.6994339104796448,Normal,100,5,100,5,0.9988982371794872,1000,0.875,0.5958636577563539,3,0.02390813702999254,1,9973,0.9997994987468671,14,0.56,blom
0.9972,0.6111111111111112,0.0,28,0.56,0,0.0,0.6633249580710799,0.662393601738402,Normal,100,5,100,10,0.9971938264181198,1000,1.0,0.06002831419956778,1,0.02863662232010889,1,9950,1.0,22,0.44,log
0.9969,0.5866666666666667,0.12,28,0.56,3,0.00030150753768844223,0.6222539674441618,0.6210478499958629,Normal,100,5,100,10,0.9971929824561403,1000,0.88,0.10960972651643663,1,0.027126104290614524,1,9947,0.9996984924623116,22,0.44,boxcox
0.9971,0.6027397260273973,0.043478260869565216,28,0.56,1,0.00010050251256281407,0.6487446070815474,0.6477182059373867,Normal,100,5,100,10,0.9971935451538538,1000,0.9565217391304348,0.12155779316786641,1,0.026762101547424314,1,9949,0.9998994974874372,22,0.44,blom
0.9971,0.6027397260273973,0.043478260869565216,28,0.56,1,0.00010050251256281407,0.6487446070815474,0.6477182059373867,Normal,100,5,100,10,0.9971935451538538,1000,0.9565217391304348,0.4497098666342533,2,0.01609229843294895,1,9949,0.9998994974874372,22,0.44,log
0.9946,0.37209302325581395,0.5555555555555556,34,0.68,20,0.0020100502512562816,0.37712361663282534,0.37449138103076857,Normal,100,5,100,10,0.9965877157767965,1000,0.4444444444444444,0.3161980249546884,2,0.019996625024267634,1,9930,0.9979899497487437,16,0.32,boxcox
0.9965,0.4615384615384615,0.0,35,0.7,0,0.0,0.5477225575051661,0.5467617603983941,Normal,100,5,100,10,0.9964947421131698,1000,1.0,-0.2562913618125555,2,0.03673810284289914,1,9950,1.0,15,0.3,blom
0.9966,0.48484848484848486,0.0,34,0.68,0,0.0,0.565685424949238,0.5647213971599238,Normal,100,5,100,10,0.9965945512820513,1000,1.0,-0.3827123917204489,3,0.04081559342178909,1,9950,1.0,16,0.32,log
0.9964,0.45454545454545453,0.0625,35,0.7,1,0.00010050251256281407,0.5303300858899106,0.5292489475895767,Normal,100,5,100,10,0.9964943910256411,1000,0.9375,-0.42477396222709274,3,0.04205718782042248,1,9949,0.9998994974874372,15,0.3,boxcox
0.9963,0.4307692307692308,0.06666666666666667,36,0.72,1,0.00010050251256281407,0.5112077203381551,0.5101278066028568,Normal,100,5,100,10,0.9963945918878317,1000,0.9333333333333333,-0.7558332825584162,3,0.05182956181377642,1,9949,0.9998994974874372,14,0.28,blom
0.9997,0.8235294117647058,0.0,3,0.3,0,0.0,0.8366600265340756,0.8365344301922235,Normal,100,10,100,1,0.999699789852897,1000,1.0,0.5337290367244247,1,0.09780629144816441,1,9990,1.0,7,0.7,log
0.9992,0.6363636363636365,0.4166666666666667,3,0.3,5,0.0005005005005005005,0.6390096504226938,0.638616686859829,Normal,100,10,100,1,0.999699639567481,1000,0.5833333333333334,0.6061358494215734,1,0.0826180374429403,1,9985,0.9994994994994995,7,0.7,boxcox
0.9996,0.7499999999999999,0.0,4,0.4,0,0.0,0.7745966692414834,0.7744416413865851,Normal,100,10,100,1,0.9995997598559135,1000,1.0,0.3417789559686031,1,0.13807027316818166,1,9990,1.0,6,0.6,blom
0.9998,0.888888888888889,0.0,2,0.2,0,0.0,0.8944271909999159,0.894337672189603,Normal,100,10,100,1,0.9997998398718975,1000,1.0,0.4112257324389751,2,0.08115841660871798,1,9990,1.0,8,0.8,log
0.9998,0.888888888888889,0.0,2,0.2,0,0.0,0.8944271909999159,0.894337672189603,Normal,100,10,100,1,0.9997998398718975,1000,1.0,0.45118165749130235,2,0.07565077167576854,1,9990,1.0,8,0.8,boxcox
