MODEL	TRANS	REP	R2	X2	X2p	X2c
NBinomial	none	27	1.0	101.688723892	1.80867935068	0.573119829573
NBinomial	none	28	1.0	162.207632152	1.88700457693	0.571955214804
NBinomial	none	29	1.0	114.643755128	1.6590804056	0.565314320124
NBinomial	none	3	1.0	92.3980911666	1.60157683394	0.558900876045
NBinomial	none	30	1.0	107.401664718	1.6504797345	0.570619988151
NBinomial	none	31	1.0	176.271185737	1.96128719069	0.566620089019
NBinomial	none	32	1.0	485.626205849	7.00681404566	0.577197699212
NBinomial	none	33	1.0	480.010513839	6.92202975593	0.56513760886
NBinomial	none	34	1.0	105.597600648	1.71313525598	0.568377084397
NBinomial	none	35	1.0	146.950320405	1.66384588349	0.562583546315
NBinomial	none	36	1.0	120.744254677	1.58684211351	0.553327835534
NBinomial	none	37	1.0	632.426279602	10.0741944302	0.573327290451
NBinomial	none	38	0.999999913324	496.366541062	6.82700587702	0.573219162048
NBinomial	none	39	1.0	162.355454197	1.63864567225	0.550648390547
NBinomial	none	4	1.0	111.555873779	1.57633430894	0.560014479744
NBinomial	none	40	1.0	77.3933475741	1.51917048246	0.561982858725
NBinomial	none	41	1.0	109.35996458	1.5805556039	0.562948385367
NBinomial	none	42	1.0	162.673846189	1.79618499196	0.558210791126
NBinomial	none	43	1.0	127.647983205	1.35154391496	0.559538885435
NBinomial	none	44	1.0	158.500509858	1.813904504	0.572295208024
NBinomial	none	45	1.0	373.747294104	5.03209778217	0.558294621412
NBinomial	none	46	1.0	119.004940523	1.61892233093	0.564463375201
NBinomial	none	47	1.0	194.256197187	1.94097916173	0.560713060729
NBinomial	none	48	1.0	427.942726215	6.01082235282	0.574584107759
NBinomial	none	49	1.0	1556.90226291	12.4056333576	0.571906551708
NBinomial	none	5	1.0	489.143226746	6.95848248119	0.571532360974
NBinomial	none	50	1.0	130.03945257	1.6132865053	0.571237028599
NBinomial	none	51	0.00881217401788	133.828535289	1.78832185788	0.566873322795
NBinomial	none	52	1.0	514.983937933	6.78698585291	0.568996038087
NBinomial	none	53	1.0	128.805850389	1.66818925075	0.55792903473
NBinomial	none	54	1.0	93.5535115806	1.59125636667	0.562267964876
NBinomial	none	55	1.0	476.955752431	6.72882174866	0.570935244308
NBinomial	none	56	1.0	355.439648542	5.75279891981	0.580586612441
NBinomial	none	57	1.0	110.236288433	1.69826444647	0.555924961026
NBinomial	none	58	1.0	136.491182766	1.79008862966	0.561554126154
NBinomial	none	59	1.0	105.526081824	1.62537803478	0.556340910821
NBinomial	none	6	1.0	406.18679421	5.6964646119	0.565084131692
NBinomial	none	60	1.0	97.9317040987	1.56710675725	0.559641261097
NBinomial	none	61	1.0	539.982861165	8.26655374796	0.552372971054
NBinomial	none	62	1.0	339.541713303	5.663703351	0.569517341159
NBinomial	none	63	1.0	703.693866485	11.542085925	0.572296382238
NBinomial	none	64	1.0	170.982197461	1.75767644694	0.551543297442
NBinomial	none	65	1.0	451.918304452	7.32089502795	0.563594016169
NBinomial	none	66	1.0	169.165917451	1.99377822922	0.575893380929
NBinomial	none	67	1.0	94.9820429285	1.70517924155	0.569734290171
NBinomial	none	68	1.0	314.056692108	5.21911275413	0.555843814575
NBinomial	none	69	1.0	122.868323189	1.65855228277	0.570625000824
NBinomial	none	7	1.0	101.877830341	1.52950111081	0.561269310169
NBinomial	none	70	1.0	154.286310482	1.65365363419	0.555373533192
NBinomial	none	71	1.0	102.497177282	1.73590937392	0.563120357631
NBinomial	none	72	1.0	98.4415851041	1.64511811207	0.567976876969
NBinomial	none	73	1.0	491.693272337	6.58674635685	0.555740675995
NBinomial	none	74	1.0	131.484570373	1.6388913474	0.558675055834
NBinomial	none	75	1.0	812.200049009	9.15413238934	0.561667708447
NBinomial	none	76	1.0	101.92106052	1.61554238742	0.573077898617
NBinomial	none	77	1.0	528.106705007	9.72748680557	0.573256108307
NBinomial	none	78	1.0	431.104978687	7.68472239832	0.575239610956
NBinomial	none	79	1.0	104.817717791	1.46008798164	0.556518037897
NBinomial	none	8	1.0	146.497863297	1.82581665847	0.566882363708
NBinomial	none	80	1.0	140.833212386	1.57884728035	0.556596404713
NBinomial	none	81	1.0	160.0677437	1.9849877672	0.567866782128
NBinomial	none	82	1.0	235.060465565	1.96766504437	0.558437149796
NBinomial	none	83	1.0	72.4752162425	1.24102219451	0.550581209029
NBinomial	none	84	1.0	79.267645116	1.29037352689	0.558429234512
NBinomial	none	85	1.0	131.437461651	1.51150574777	0.55141981705
NBinomial	none	86	1.0	398.487914361	6.12466317905	0.577884532128
NBinomial	none	87	1.0	166.543964282	1.88582462104	0.569852255608
NBinomial	none	88	1.0	126.487377105	1.74839496749	0.5667482667
NBinomial	none	89	1.0	444.709420808	6.43304156796	0.565419953664
NBinomial	none	9	1.0	102.247023506	1.51845749062	0.561726329407
NBinomial	none	90	1.0	205.401033945	2.33656185505	0.573020929987
NBinomial	none	91	1.0	104.687982534	1.46018024233	0.548886537853
NBinomial	none	92	1.0	135.49934187	1.7880937316	0.57027236084
NBinomial	none	93	1.0	815.546778802	12.0381167668	0.574453424813
NBinomial	none	94	1.0	126.557016808	1.63102270936	0.569814493379
NBinomial	none	95	1.0	99.5836244954	1.62305683279	0.563190258299
NBinomial	none	96	1.0	118.318512539	1.64411175122	0.565369089666
NBinomial	none	97	1.0	84.5555449695	1.39780220197	0.551295220054
NBinomial	none	98	1.0	94.4517623809	1.64023115008	0.560601587676
NBinomial	none	99	1.0	118.773793639	1.70969293152	0.563324760746
Normal	blom	1	1.0	3.60476345773e+23	1.14864231801	2.06176864582
Normal	blom	10	1.0	1.64956583884e+22	1.11555144719	2.04921400505
Normal	blom	100	1.0	7.68844751726e+24	1.09640395702	2.05657082425
Normal	blom	11	1.0	6.31619487429e+23	1.1294155122	2.04621292455
Normal	blom	12	1.0	2.4932604701e+20	1.14574330738	2.04441776528
Normal	blom	13	1.0	1.76368229076e+23	1.08230283311	2.0498307463
Normal	blom	14	1.0	7.12311427364e+22	1.12365859557	2.06219727995
Normal	blom	15	1.0	3.24175552869e+23	1.03383267707	2.05760471531
Normal	blom	16	1.0	3.47769185708e+22	1.16740507221	2.05616515885
Normal	blom	17	1.0	3.25381601198e+24	1.08839565983	2.05494480859
Normal	blom	18	1.0	2.30139374853e+27	1.16419315852	2.04661700636
Normal	blom	19	1.0	1.77379843606e+24	1.14452249558	2.04000591914
Normal	blom	2	0.0	1.13881924686e+25	1.07701295151	2.05998019753
Normal	blom	20	1.0	2.12920526611e+25	1.13463745436	2.05240085165
Normal	blom	21	1.0	8.87770224433e+23	1.0439556577	2.05656645407
Normal	blom	22	1.0	8.69887511593e+20	1.1237565158	2.05112427654
Normal	blom	23	1.0	2.25449515086e+21	1.07781588911	2.04355083995
Normal	blom	24	1.0	1.8358101686e+21	1.20697123213	2.04521471311
Normal	blom	25	1.0	6.77886640304e+23	1.13099719025	2.0514403693
Normal	blom	26	1.0	2.47964311937e+20	1.11834943753	2.05811856979
Normal	blom	27	1.0	1.25384544616e+24	1.16400338913	2.05107856786
Normal	blom	28	1.0	2.62882786964e+22	1.16723639	2.04339973143
Normal	blom	29	1.0	5.30832533537e+24	1.15127684703	2.04570999964
Normal	blom	3	1.0	2.97061464881e+23	1.11322813108	2.05118816011
Normal	blom	30	1.0	6.74064704518e+22	1.11240596258	2.05713049971
Normal	blom	31	1.0	1.38556395307e+23	1.11638541063	2.05348146577
Normal	blom	32	1.0	2.34243310435e+23	1.16343047514	2.04508226552
Normal	blom	33	1.0	9.69308471419e+18	1.08580772453	2.05460959066
Normal	blom	34	1.0	4.6907682957e+23	1.14030098504	2.04463372184
