ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,REP,RSS,SIZE,TN,TNR,TP,TPR,TRANS
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,2,142.90020029992382,3.0,9979,1.0,1,0.047619047619047616,boxcox
0.9981,0.17391304347826084,0.0,19,0.9047619047619048,0,0.0,0.3086066999241838,0.3083133254652272,Normal,100,1,100,1,0.9980996199239848,1000,1.0,2,31.747040061221725,3.0,9979,1.0,2,0.09523809523809523,blom
0.9982,0.25,0.0,18,0.8571428571428571,0,0.0,0.3779644730092272,0.3776240495969411,Normal,100,1,100,1,0.9981994598379513,1000,1.0,3,14.225569880037,3.0,9979,1.0,3,0.14285714285714285,log
0.9981,0.17391304347826084,0.0,19,0.9047619047619048,0,0.0,0.3086066999241838,0.3083133254652272,Normal,100,1,100,1,0.9980996199239848,1000,1.0,3,43.34399780750601,3.0,9979,1.0,2,0.09523809523809523,boxcox
0.9981,0.17391304347826084,0.0,19,0.9047619047619048,0,0.0,0.3086066999241838,0.3083133254652272,Normal,100,1,100,1,0.9980996199239848,1000,1.0,3,62.00830377941624,3.0,9979,1.0,2,0.09523809523809523,blom
0.9982,0.25,0.0,18,0.8571428571428571,0,0.0,0.3779644730092272,0.3776240495969411,Normal,100,1,100,1,0.9981994598379513,1000,1.0,4,12.38655690914967,3.0,9979,1.0,3,0.14285714285714285,log
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,4,144.72098487591555,3.0,9979,1.0,1,0.047619047619047616,boxcox
0.9982,0.25,0.0,18,0.8571428571428571,0,0.0,0.3779644730092272,0.3776240495969411,Normal,100,1,100,1,0.9981994598379513,1000,1.0,4,15.64116659576249,3.0,9979,1.0,3,0.14285714285714285,blom
0.9983,0.32,0.0,17,0.8095238095238095,0,0.0,0.4364357804719847,0.436064503688091,Normal,100,1,100,1,0.9982993197278912,1000,1.0,5,5.724882434700721,3.0,9979,1.0,4,0.19047619047619047,log
0.9983,0.32,0.0,17,0.8095238095238095,0,0.0,0.4364357804719847,0.436064503688091,Normal,100,1,100,1,0.9982993197278912,1000,1.0,5,5.696117085750174,3.0,9979,1.0,4,0.19047619047619047,boxcox
0.9981,0.17391304347826084,0.0,19,0.9047619047619048,0,0.0,0.3086066999241838,0.3083133254652272,Normal,100,1,100,1,0.9980996199239848,1000,1.0,5,26.5441144791045,3.0,9979,1.0,2,0.09523809523809523,blom
,,,0,,0,,,,Normal,100,1,100,1,,1000,,6,,3.0,0,,0,,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,6,,3.0,0,,0,,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,6,,3.0,0,,0,,blom
0.9984,0.3846153846153846,0.0,16,0.7619047619047619,0,0.0,0.4879500364742666,0.4875593247419328,Normal,100,1,100,1,0.9983991995998,1000,1.0,7,2.6449662003140006,3.0,9979,1.0,5,0.23809523809523808,log
0.9981,0.17391304347826084,0.0,19,0.9047619047619048,0,0.0,0.3086066999241838,0.3083133254652272,Normal,100,1,100,1,0.9980996199239848,1000,1.0,7,28.60627830620792,3.0,9979,1.0,2,0.09523809523809523,boxcox
0.9983,0.32,0.0,17,0.8095238095238095,0,0.0,0.4364357804719847,0.436064503688091,Normal,100,1,100,1,0.9982993197278912,1000,1.0,7,7.793695066831184,3.0,9979,1.0,4,0.19047619047619047,blom
,,,0,,0,,,,Normal,100,1,100,1,,1000,,8,,3.0,0,,0,,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,8,,3.0,0,,0,,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,8,,3.0,0,,0,,blom
0.9985,0.4444444444444445,0.0,15,0.7142857142857143,0,0.0,0.5345224838248488,0.5341212006543822,Normal,100,1,100,1,0.9984990994596759,1000,1.0,9,0.7339737168534834,3.0,9979,1.0,6,0.2857142857142857,log
0.9984,0.3846153846153846,0.0,16,0.7619047619047619,0,0.0,0.4879500364742666,0.4875593247419328,Normal,100,1,100,1,0.9983991995998,1000,1.0,9,1.6195635699285873,3.0,9979,1.0,5,0.23809523809523808,boxcox
0.9985,0.4444444444444445,0.0,15,0.7142857142857143,0,0.0,0.5345224838248488,0.5341212006543822,Normal,100,1,100,1,0.9984990994596759,1000,1.0,9,0.7481500017702208,3.0,9979,1.0,6,0.2857142857142857,blom
0.9982,0.25,0.0,18,0.8571428571428571,0,0.0,0.3779644730092272,0.3776240495969411,Normal,100,1,100,1,0.9981994598379513,1000,1.0,10,8.997007650013712,3.0,9979,1.0,3,0.14285714285714285,log
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,10,69.18985424200216,3.0,9979,1.0,1,0.047619047619047616,boxcox
0.9982,0.25,0.0,18,0.8571428571428571,0,0.0,0.3779644730092272,0.3776240495969411,Normal,100,1,100,1,0.9981994598379513,1000,1.0,10,10.517673990595428,3.0,9979,1.0,3,0.14285714285714285,blom
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,1,111.88040272104325,5.0,9979,1.0,1,0.047619047619047616,log
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,1,136.43765303191296,5.0,9979,1.0,1,0.047619047619047616,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,1,,5.0,0,,0,,blom
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,2,147.4767923147464,5.0,9979,1.0,1,0.047619047619047616,log
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,2,147.4767923147464,5.0,9979,1.0,1,0.047619047619047616,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,2,,5.0,0,,0,,blom
0.9981,0.17391304347826084,0.0,19,0.9047619047619048,0,0.0,0.3086066999241838,0.3083133254652272,Normal,100,1,100,1,0.9980996199239848,1000,1.0,3,443.7371364723987,5.0,9979,1.0,2,0.09523809523809523,log
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,3,280.6734505696884,5.0,9979,1.0,1,0.047619047619047616,boxcox
0.9981,0.17391304347826084,0.0,19,0.9047619047619048,0,0.0,0.3086066999241838,0.3083133254652272,Normal,100,1,100,1,0.9980996199239848,1000,1.0,3,201.0111727057033,5.0,9979,1.0,2,0.09523809523809523,blom
0.9981,0.17391304347826084,0.0,19,0.9047619047619048,0,0.0,0.3086066999241838,0.3083133254652272,Normal,100,1,100,1,0.9980996199239848,1000,1.0,4,25.57167214526774,5.0,9979,1.0,2,0.09523809523809523,log
